Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
305,KEC,KEC International Limited,"17,84,836.01"
306,SCHNEIDER,Schneider Electric Infrastructure Limited,"17,71,880.45"
307,IDFC,IDFC Limited,"17,71,182.77"
308,BATAINDIA,Bata India Limited,"17,53,372.70"
309,CIEINDIA,CIE Automotive India Limited,"17,51,895.46"
310,KPIL,Kalpataru Projects International Limited,"17,37,930.16"
311,RRKABEL,R R Kabel Limited,"17,36,224.32"
312,SUMICHEM,Sumitomo Chemical India Limited,"17,35,779.30"
313,NATCOPHARM,Natco Pharma Limited,"17,29,861.39"
314,SUVENPHAR,Suven Pharmaceuticals Limited,"17,23,659.32"
315,CROMPTON,Crompton Greaves Consumer Electricals Limited,"17,20,311.17"
316,TRITURBINE,Triveni Turbine Limited,"17,06,045.39"
317,PPLPHARMA,Piramal Pharma Limited,"17,05,280.14"
318,INOXWIND,Inox Wind Limited,"17,00,147.36"
319,ACE,Action Construction Equipment Limited,"16,98,900.42"
320,ATUL,Atul Limited,"16,90,103.95"
321,CGCL,Capri Global Capital Limited,"16,83,702.48"
322,TVSHLTD,TVS Holdings Limited,"16,51,920.94"
323,SHYAMMETL,Shyam Metalics and Energy Limited,"16,50,646.21"
324,NUVAMA,Nuvama Wealth Management Limited,"16,49,150.42"
325,KIMS,Krishna Institute of Medical Sciences Limited,"16,47,972.20"
326,CELLO,Cello World Limited,"16,42,668.20"
327,PNBHOUSING,PNB Housing Finance Limited,"16,35,684.97"
328,REDINGTON,Redington Limited,"16,29,608.80"
329,LAXMIMACH,Lakshmi Machine Works Limited,"16,22,993.41"
330,JYOTHYLAB,Jyothy Labs Limited,"16,15,534.43"
331,CESC,CESC Limited,"16,12,556.43"
332,GODFRYPHLP,Godfrey Phillips India Limited,"16,06,196.18"
333,NSLNISP,NMDC Steel Limited,"16,03,041.40"
334,RITES,RITES Limited,"15,95,123.93"
335,CONCORDBIO,Concord Biotech Limited,"15,91,003.23"
336,INDIAMART,Indiamart Intermesh Limited,"15,86,718.37"
337,AEGISCHEM,Aegis Logistics Limited,"15,67,741.50"
338,OLECTRA,Olectra Greentech Limited,"15,50,135.76"
339,WHIRLPOOL,Whirlpool of India Limited,"15,49,675.97"
340,ANANDRATHI,Anand Rathi Wealth Limited,"15,45,283.69"
341,NAVINFLUOR,Navin Fluorine International Limited,"15,43,327.49"
342,JWL,Jupiter Wagons Limited,"15,42,596.60"
343,APTUS,Aptus Value Housing Finance India Limited,"15,42,423.55"
344,FINCABLES,Finolex Cables Limited,"15,30,922.84"
345,FINPIPE,Finolex Industries Limited,"15,29,165.33"
346,POLYMED,Poly Medicure Limited,"15,25,166.63"
347,VINATIORGA,Vinati Organics Limited,"15,11,512.83"
348,INTELLECT,Intellect Design Arena Limited,"15,00,383.06"
349,JAIBALAJI,Jai Balaji Industries Limited,"14,94,203.53"
350,J&KBANK,The Jammu & Kashmir Bank Limited,"14,77,786.87"
351,KARURVYSYA,Karur Vysya Bank Limited,"14,69,141.23"
352,BLUEDART,Blue Dart Express Limited,"14,67,323.57"
353,MANAPPURAM,Manappuram Finance Limited,"14,65,601.73"
354,AFFLE,Affle (India) Limited,"14,60,557.78"
355,NCC,NCC Limited,"14,58,801.55"
356,RBLBANK,RBL Bank Limited,"14,54,055.02"
357,TTML,Tata Teleservices (Maharashtra) Limited,"14,46,646.52"
358,BASF,BASF India Limited,"14,44,463.45"
359,VGUARD,V-Guard Industries Limited,"14,38,542.10"
360,CAMS,Computer Age Management Services Limited,"14,32,841.35"
361,GESHIP,The Great Eastern Shipping Company Limited,"14,29,456.20"
362,CENTURYPLY,Century Plyboards (India) Limited,"14,22,018.22"
363,CLEAN,Clean Science and Technology Limited,"14,12,426.37"
364,JINDALSAW,Jindal Saw Limited,"13,83,576.06"
365,FSL,Firstsource Solutions Limited,"13,77,602.37"
366,ZENSARTECH,Zensar Technologies Limited,"13,74,691.29"
367,SOBHA,Sobha Limited,"13,74,079.30"
368,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,"13,70,230.86"
369,DATAPATTNS,Data Patterns (India) Limited,"13,55,931.73"
370,CHENNPETRO,Chennai Petroleum Corporation Limited,"13,50,328.58"
371,WELCORP,Welspun Corp Limited,"13,48,631.18"
372,MGL,Mahanagar Gas Limited,"13,47,378.28"
373,KSB,Ksb Limited,"13,42,155.66"
374,WELSPUNLIV,Welspun Living Limited,"13,37,208.47"
375,HSCL,Himadri Speciality Chemical Limited,"13,32,219.69"
376,DCMSHRIRAM,DCM Shriram Limited,"13,32,137.06"
377,ASTRAZEN,AstraZeneca Pharma India Limited,"13,32,112.50"
378,ZEEL,Zee Entertainment Enterprises Limited,"13,30,799.66"
379,BEML,BEML Limited,"13,25,835.95"
380,HFCL,HFCL Limited,"13,20,793.44"
381,RAINBOW,Rainbow Childrens Medicare Limited,"13,17,035.14"
382,ABSLAMC,Aditya Birla Sun Life AMC Limited,"13,10,809.08"
383,HONASA,Honasa Consumer Limited,"13,04,758.49"
384,ASAHIINDIA,Asahi India Glass Limited,"13,03,812.84"
385,PVRINOX,PVR INOX Limited,"13,01,508.09"
386,ARE&M,Amara Raja Energy & Mobility Limited,"12,98,858.25"
387,IIFL,IIFL Finance Limited,"12,97,646.23"
388,BLS,BLS International Services Limited,"12,88,131.43"
389,ALOKINDS,Alok Industries Limited,"12,83,514.64"
390,VTL,Vardhman Textiles Limited,"12,79,020.14"
391,GRINFRA,G R Infraprojects Limited,"12,64,885.63"
392,HBLPOWER,HBL Power Systems Limited,"12,58,465.05"
393,WESTLIFE,WESTLIFE FOODWORLD LIMITED,"12,54,428.48"
394,RKFORGE,Ramkrishna Forgings Limited,"12,49,615.34"
395,KIRLOSENG,Kirloskar Oil Engines Limited,"12,45,822.67"
396,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,"12,37,651.93"
397,FINEORG,Fine Organic Industries Limited,"12,37,084.04"
398,AMBER,Amber Enterprises India Limited,"12,32,415.60"
399,BIKAJI,Bikaji Foods International Limited,"12,27,999.40"
400,SWSOLAR,Sterling and Wilson Renewable Energy Limited,"12,19,488.06"
401,RAYMOND,Raymond Limited,"12,03,852.78"
402,IEX,Indian Energy Exchange Limited,"11,97,989.19"
403,SPARC,Sun Pharma Advanced Research Company Limited,"11,95,131.87"
404,GRAPHITE,Graphite India Limited,"11,79,189.40"
405,SPLPETRO,Supreme Petrochem Limited,"11,74,224.16"
406,RAILTEL,Railtel Corporation Of India Limited,"11,67,413.46"
407,INGERRAND,Ingersoll Rand (India) Limited,"11,61,812.89"
408,ECLERX,eClerx Services Limited,"11,60,577.35"
409,JUNIPER,Juniper Hotels Limited,"11,51,561.09"
410,ERIS,Eris Lifesciences Limited,"11,47,194.50"
411,RHIM,RHI MAGNESITA INDIA LIMITED,"11,41,230.13"
412,ENGINERSIN,Engineers India Limited,"11,35,044.57"
413,MAHSEAMLES,Maharashtra Seamless Limited,"11,33,834.67"
414,HAPPSTMNDS,Happiest Minds Technologies Limited,"11,33,533.69"
415,JKTYRE,JK Tyre & Industries Limited,"11,26,456.44"
416,TEJASNET,Tejas Networks Limited,"11,20,377.87"
417,PNCINFRA,PNC Infratech Limited,"11,19,408.65"
418,NEWGEN,Newgen Software Technologies Limited,"11,14,383.75"
419,INOXINDIA,INOX India Limited,"11,09,719.93"
420,TANLA,Tanla Platforms Limited,"11,02,167.47"
421,BIRLACORPN,Birla Corporation Limited,"10,96,325.13"
422,BBTC,Bombay Burmah Trading Corporation Limited,"10,93,848.96"
423,GMDCLTD,Gujarat Mineral Development Corporation Limited,"10,93,761.00"
424,NUVOCO,Nuvoco Vistas Corporation Limited,"10,93,612.14"
425,AKZOINDIA,Akzo Nobel India Limited,"10,85,999.87"
426,CEATLTD,CEAT Limited,"10,85,033.27"
427,RPOWER,Reliance Power Limited,"10,76,659.19"
428,RELINFRA,Reliance Infrastructure Limited,"10,73,317.47"
429,GPIL,Godawari Power And Ispat limited,"10,67,376.39"
430,ELECON,Elecon Engineering Company Limited,"10,64,497.17"
431,ANANTRAJ,Anant Raj Limited,"10,61,666.84"
432,ELECTCAST,Electrosteel Castings Limited,"10,59,586.55"
433,DBREALTY,D B Realty Limited,"10,55,949.44"
434,EQUITASBNK,Equitas Small Finance Bank Limited,"10,50,338.18"
435,KFINTECH,Kfin Technologies Limited,"10,48,565.58"
